country;contract_name;name;company;bonus;banking;status;bike_stands;count
Spain;Seville;253_HOSPITAL VALME;SEVICI;False;True;OPEN;30;2818
Spain;Seville;123_ESTADIO OLIMPICO;SEVICI;False;True;OPEN;20;2818
Spain;Seville;260_REVOLTOSA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00050 - GARONNETTE;Vélô;False;True;OPEN;23;2818
Spain;Valence;45_AVDA. GRAL. URRUTIA;Valenbisi;False;False;OPEN;15;2818
Spain;Valence;157_AVENIDA_PEREZ_GALDOS;Valenbisi;False;True;OPEN;20;2818
Australia;Brisbane;99 - CORDELIA ST / PEEL ST;CityCycle;False;False;OPEN;20;2827
IRELAND;Dublin;HEUSTON STATION (CAR PARK);dublinbikes;False;False;OPEN;40;2823
Luxembourg;Luxembourg;LONKECHER STROOSS;Veloh;False;True;OPEN;15;2823
France;Lyon;5004 - ST JEAN (FAR);Vélo'V;False;True;OPEN;29;2823
France;Lyon;7034 - PISCINE DU RHÔNE;Vélo'V;False;True;OPEN;15;2823
France;Marseille;8308-PRADO LATIL;Le vélo;False;True;OPEN;10;2823
France;Nantes;00015-PLACE ARISTIDE BRIAND;Bicloo;False;False;OPEN;17;2823
France;Paris;11020 - CHARONNE;Velib;False;True;OPEN;36;2820
France;Paris;15071 - CHAMP DE MARS COTE 16EME;Velib;False;True;OPEN;22;2820
France;Paris;20012 - BUZENVAL VIGNOLES;Velib;False;True;OPEN;15;2820
France;Rouen;02- PASTEUR - FAC DE DROIT;cy'clic;False;True;OPEN;20;2819
Spain;Seville;192_AVENIDA DE ALVAR NUÑEZ;SEVICI;False;True;OPEN;19;2818
Spain;Seville;201_CALLE PINO MONTANO;SEVICI;False;True;OPEN;20;2818
Spain;Seville;124_CALLE ENRAMADILLA;SEVICI;False;True;OPEN;20;2818
Spain;Seville;072_CALLE AMADOR DE LOS RIOS;SEVICI;False;True;OPEN;20;2816
France;Toulouse;00271 - ANCELY;Vélô;False;True;OPEN;20;2818
France;Toulouse;00034 - SAINT LAZARE;Vélô;False;True;OPEN;19;2818
Spain;Valence;100_AVDA. BLASCO IBAÑEZ 9;Valenbisi;False;False;OPEN;20;2818
Spain;Valence;126_C/ ALFAUIR;Valenbisi;False;False;OPEN;20;2818
Belgium;Bruxelles-Capitale;022 - JACQMAIN (FERMÉE - SANS COURANT);villo;False;True;CLOSED;23;244
France;Amiens;26- MARCHE AUX CHEVAUX;Velam;False;True;OPEN;20;2828
Australia;Brisbane;105 - DORNOCH TCE / HARDGRAVE RD;CityCycle;False;False;OPEN;31;2827
Belgium;Bruxelles-Capitale;113 - ABBAYE DE LA CAMBRE / ABDIJ TER KAMEREN;villo;False;True;OPEN;20;2826
Belgium;Bruxelles-Capitale;073 - VLEURGAT;villo;True;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;250 - SAINTE-ELISABETH;villo;False;True;OPEN;25;2826
Luxembourg;Luxembourg;CLOCHE D' OR;Veloh;False;True;OPEN;20;2823
France;Lyon;10091 - CHÂTEAU GAILLARD / FORT;Vélo'V;False;True;OPEN;16;2823
France;Lyon;7055 - SERVANT / JABOULAY;Vélo'V;False;True;OPEN;16;2823
France;Marseille;9259-LANCIER-MARTHELINE;Le vélo;False;True;OPEN;15;2822
France;Paris;9104 - CAUMARTIN PROVENCE;Velib;False;True;OPEN;23;2820
France;Paris;10004 - METZ;Velib;False;True;OPEN;70;9
France;Paris;21309 - CRESSON 2 (ISSY LES MOULINEAUX);Velib;False;True;OPEN;41;2820
France;Paris;20033 - ETIENNE DOLET;Velib;False;True;OPEN;31;2820
France;Paris;31013 - CENTENAIRE (MONTREUIL);Velib;False;True;CLOSED;45;1042
Spain;Seville;110_CIUDAD DE RONDA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00058 - CONCORDE ARCOLE;Vélô;False;True;OPEN;25;2818
Australia;Brisbane;25 - REDDACLIFF PL / QUEEN ST;CityCycle;False;False;OPEN;26;1819
France;Besancon;25 - MORAND;VéloCité;False;False;OPEN;12;2827
Belgium;Bruxelles-Capitale;189 - PLACE VAN MEYEL/VAN MEYELPLEIN;villo;False;True;OPEN;17;2826
Sweden;Lund;LTH;Lundahoj;False;True;OPEN;21;2823
France;Marseille;8134-ROND POINT DU PRADO;Le vélo;False;True;OPEN;21;2823
France;Marseille;7146-LIVON VIEUX PORT;Le vélo;False;True;OPEN;15;2823
France;Nancy;00029 - VÉLODRÔME (CB);vélOstan'lib;False;True;OPEN;24;2823
France;Paris;11021 - PHILIPPE AUGUSTE (20EME ARR.);Velib;False;True;OPEN;23;2820
France;Paris;14023 - MALAKOFF PINARD;Velib;False;True;OPEN;49;2820
France;Paris;13013 - SAINT MARCEL;Velib;False;True;OPEN;21;2820
France;Paris;03010 - BEAUBOURG;Velib;False;True;OPEN;18;2820
France;Paris;07020 - CLER;Velib;False;True;OPEN;57;2820
France;Paris;15123 - RUE DU COMMERCE;Velib;False;True;OPEN;42;2820
JAPAN;Toyama;大手町 OTE-MACHI;cyclocity;False;False;OPEN;20;2818
Spain;Valence;088_AVDA. BLASCO IBAÑEZ 3;Valenbisi;False;True;OPEN;40;2818
Spain;Valence;189_HOSPITAL_NUEVA_FE;Valenbisi;False;True;OPEN;30;2818
Slovenia;Ljubljana;P+R BARJE;Bicikelj;False;False;OPEN;20;2130
Spain;Seville;072_CALLE AMADOR DE LOS RIOS;SEVICI;False;True;CLOSED;20;2
Spain;Valence;176_CAMINO_DE_MONCADA_52;Valenbisi;False;False;CLOSED;20;1
France;Amiens;07- BARABAN;Velam;False;True;OPEN;20;2714
Australia;Brisbane;101 - RUSSELL ST / EDMONDSTONE ST;CityCycle;False;False;OPEN;22;2827
Belgium;Bruxelles-Capitale;147 - EMILE MAX LYCEE/LYCEUM EMILE MAX;villo;True;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;333 - TRACTEBEL;villo;False;True;OPEN;25;2826
Belgium;Bruxelles-Capitale;357 - AVIATION;villo;False;True;OPEN;20;2826
Sweden;Goteborg;ÅVÄGEN NORRA;Göteborg;False;True;OPEN;31;2823
Sweden;Goteborg;DROTTNINGTORGET;Göteborg;False;True;OPEN;20;2823
Sweden;Goteborg;LILLA BOMMEN;Göteborg;False;True;OPEN;20;2823
France;Lyon;2036 - PLACE GOURJU;Vélo'V;False;True;OPEN;20;2823
France;Marseille;02279 - DOCKS LES TERRASSES DU PORT;Le vélo;False;True;OPEN;22;2823
France;Paris;32605 - HORTENSIAS (LES LILAS);Velib;True;True;OPEN;22;2820
France;Paris;17116 - REIMS;Velib;False;True;OPEN;33;2820
France;Paris;11045 - SAINT SEBASTIEN FROISSARD;Velib;False;True;OPEN;42;2691
France;Paris;08017 - ROCHER;Velib;False;True;OPEN;64;2820
France;Paris;23009 - FRANCE (LEVALLOIS);Velib;False;True;OPEN;50;2820
France;Paris;10004 - METZ;Velib;False;True;OPEN;72;2811
France;Marseille;9259-LANCIER-MARTHELINE;Le vélo;False;True;CLOSED;15;1
France;Besancon;10 - 8 SEPTEMBRE (CB);VéloCité;False;True;OPEN;15;2827
Australia;Brisbane;62 - ANN ST / CHESTER ST;CityCycle;False;False;OPEN;16;2827
Belgium;Bruxelles-Capitale;190 - TERDELT;villo;False;False;OPEN;22;2826
Belgium;Bruxelles-Capitale;291 - DECROLY;villo;False;True;OPEN;19;2826
France;Cergy-Pontoise;50021 - CER21 - DALLE PIÉTONNE GRAND CENTRE;Velo2;False;False;OPEN;20;2825
France;Lyon;10049 - PRESSENSÉ;Vélo'V;False;True;OPEN;16;2823
France;Mulhouse;15 - GRAND REX;VéloCité;False;True;OPEN;15;2823
France;Paris;28002 - SOLJENITSYNE (PUTEAUX);Velib;False;True;OPEN;60;2820
France;Paris;03001 - CHEMIN VERT BEAUMARCHAIS;Velib;False;True;OPEN;52;2689
France;Paris;06008 - ASSAS LUXEMBOURG;Velib;False;True;OPEN;33;2820
France;Paris;18034 - LEIBNITZ;Velib;False;True;OPEN;41;2820
France;Paris;21310 - KLEBER (ISSY LES MOULINEAUX);Velib;False;True;OPEN;24;2820
France;Paris;13002 - ARAGO;Velib;False;True;OPEN;22;2820
France;Paris;15122 - PLACE CHARLES VALLIN;Velib;False;True;OPEN;14;2820
France;Paris;16012 - BOULEVARD FLANDRIN;Velib;False;True;OPEN;42;2820
France;Paris;21502 - VERDUN (SURESNES);Velib;False;True;OPEN;25;2820
Spain;Seville;127_CALLE VIRGEN DE LA VICTORIA;SEVICI;False;True;OPEN;15;2818
Spain;Seville;238_CIUDAD DE CHIVA;SEVICI;False;True;OPEN;15;2818
France;Toulouse;00025 - PLACE ROUAIX;Vélô;False;True;OPEN;18;2818
France;Toulouse;00186 - DESBALS BOUALAM;Vélô;False;True;OPEN;18;2818
Spain;Valence;139_C/ REUS;Valenbisi;False;False;OPEN;15;2818
Spain;Valence;194_ESTACION_AVE_JOAQUIN_SOROLLA;Valenbisi;False;True;OPEN;40;2818
Spain;Valence;267_C_BENIFERRI_VICENTE_TOMAS_MARTI;Valenbisi;False;False;OPEN;16;2818
Belgium;Bruxelles-Capitale;061 - MAELBEEK / MAALBEEK;villo;False;False;OPEN;25;2826
Belgium;Bruxelles-Capitale;075 - GENERAL BARON/GENERAAL BARON;villo;False;False;OPEN;25;2826
France;Cergy-Pontoise;56102 - ERA02 - CHARLES DE GAULLE;Velo2;False;False;OPEN;15;2825
Sweden;Goteborg;CARLANDERSPLATSEN;Göteborg;False;True;OPEN;20;2823
Luxembourg;Luxembourg;SQUARE ANDRE;Veloh;False;True;OPEN;15;2823
France;Lyon;6022- PLACE MARÉCHAL LYAUTEY;Vélo'V;False;True;OPEN;20;2823
France;Nantes;00099-ST JACQUES;Bicloo;False;False;OPEN;15;2823
France;Paris;12041 - BOIS DE VINCENNES;Velib;False;True;OPEN;58;2820
France;Paris;21302 - BRIAND (ISSY LES MOULINEAUX);Velib;False;True;OPEN;25;2820
France;Paris;09015 - LAMARTINE;Velib;False;True;OPEN;31;2820
France;Rouen;20 - AUBERGE DE JEUNESSE;cy'clic;False;True;OPEN;15;2819
Spain;Seville;019_PARLAMENTO;SEVICI;False;True;OPEN;20;2818
Spain;Seville;130_GLORIETA REPUBLICA DOMINICANA;SEVICI;False;True;OPEN;20;2818
France;Toulouse;00074 - LAGANNE TEINTURIERS;Vélô;False;True;OPEN;18;2818
France;Toulouse;00005 - LEDUC;Vélô;False;True;OPEN;19;2818
Spain;Valence;067_JUAN VERDEGUER;Valenbisi;False;False;OPEN;14;2818
Spain;Valence;137_CALLE_ECONOMISTA_GAY;Valenbisi;False;True;OPEN;20;2818
Lithuania;Vilnius;12-V. KUDIRKOS A.;Cyclocity;False;True;OPEN;15;2818
France;Paris;03006 - MAIRIE DU 3EME;Velib;False;True;CLOSED;34;157
France;Paris;11045 - SAINT SEBASTIEN FROISSARD;Velib;False;True;CLOSED;42;129
Belgium;Bruxelles-Capitale;143 - RTL;villo;False;True;OPEN;25;2826
France;Cergy-Pontoise;50004 - CER04 - LE BON TEMPS;Velo2;False;False;OPEN;15;2825
IRELAND;Dublin;ST. STEPHEN'S GREEN SOUTH;dublinbikes;False;True;OPEN;30;2823
