country;contract_name;name;company;count
Australia;Brisbane;62 - ANN ST / CHESTER ST;CityCycle;2827
Belgium;Bruxelles-Capitale;234 - ST DENIS / ST DENIJS;villo;2826
Belgium;Bruxelles-Capitale;308 - TIVOLI;villo;2826
France;Lyon;10075 - GABRIEL PÉRI;Vélo'V;2823
France;Nantes;00083-MILLERAND;Bicloo;2823
France;Nantes;00064-SAINT CLEMENT;Bicloo;2823
France;Paris;15037 - GROULT;Velib;2820
France;Paris;41603 - PASTEUR (SAINT MANDE);Velib;2820
France;Paris;12027 - MONTGALLET CHARENTON;Velib;2820
France;Paris;01013 - SAINT HONORE;Velib;2820
France;Paris;15056 - BALARD;Velib;2820
Spain;Valence;126_C/ ALFAUIR;Valenbisi;2818
Belgium;Bruxelles-Capitale;013 - LEMONNIER;villo;2826
Belgium;Bruxelles-Capitale;030 - LAEKEN / LAKEN;villo;2826
Belgium;Bruxelles-Capitale;255 - SACRE-COEUR DE/HEILIGE HART VAN GANSHOREN;villo;2826
Belgium;Bruxelles-Capitale;208 - MELBA;villo;2826
IRELAND;Dublin;EARLSFORT TERRACE;dublinbikes;2823
France;Lyon;6043 - CITÉ INTERNATIONALE - CINÉMA;Vélo'V;2823
France;Lyon;7018 - LYCEE LOUISE LABE;Vélo'V;2823
France;Lyon;10039 - BOUVIER;Vélo'V;2823
France;Lyon;2007 - PATINOIRE CHARLEMAGNE;Vélo'V;2823
France;Lyon;5050 - THEATRE ROMAIN;Vélo'V;2823
France;Lyon;1012 - AMPÈRE / BOURSE;Vélo'V;2823
Belgium;Namur;012 - PLACE SAINT-NICOLAS;Li bia velo;2823
France;Paris;05024 - PLACE MONGE;Velib;2820
France;Paris;21018 - SEINE (BOULOGNE-BILLANCOURT);Velib;2820
France;Paris;11012 - MONTREUIL VOLTAIRE;Velib;2820
France;Paris;14016 - REILLE MONTSOURIS;Velib;2820
France;Paris;15034 - COMMERCE;Velib;2820
France;Paris;21310 - KLEBER (ISSY LES MOULINEAUX);Velib;2820
France;Paris;04101 - BASTILLE;Velib;2820
France;Paris;23005 - BRIAND (LEVALLOIS);Velib;2820
Spain;Seville;120_GLORIETA SAN DIEGO;SEVICI;2818
Spain;Seville;072_CALLE AMADOR DE LOS RIOS;SEVICI;2818
France;Toulouse;00079 - PLACE LANGE;Vélô;2818
Spain;Valence;189_HOSPITAL_NUEVA_FE;Valenbisi;2818
Lithuania;Vilnius;10-KALNŲ PARKAS;Cyclocity;2818
France;Amiens;01- HOTEL DE VILLE;Velam;2701
Australia;Brisbane;75 - BROWNE ST / JAMES ST;CityCycle;2827
Australia;Brisbane;79 - BALFOUR ST / BRUNSWICK ST;CityCycle;2827
Belgium;Bruxelles-Capitale;045 - STEPHANIE / STEFANIA;villo;2826
Belgium;Bruxelles-Capitale;141 - GARE DU NORD/NOORDSTATION;villo;2826
France;Cergy-Pontoise;56101 - ERA01 - LA DANNE;Velo2;2825
France;Creteil;06 - AVENUE DE LA BRECHE;Cristolib;2823
IRELAND;Dublin;BOLTON STREET;dublinbikes;2823
Sweden;Goteborg;PACKHUSPLATSEN;Göteborg;2823
Sweden;Goteborg;VASAGATAN/SCHILLERSKA;Göteborg;2823
Russia;Kazan;04 KFU - КФУ;Veli'k;2823
France;Lyon;3008 - INSTITUT LUMIERE;Vélo'V;2823
France;Lyon;4011 - PLACE JEAN AMBRE;Vélo'V;2823
France;Lyon;10056 - 11 NOVEMBRE / GASTON BERGER;Vélo'V;2823
Belgium;Namur;016 - PLACE DE WALLONIE;Li bia velo;2823
France;Nancy;00001 - DOMINICAINS - FOURRIER (CB);vélOstan'lib;2823
France;Nancy;00016 - PORTE DE LA CRAFFE (CB);vélOstan'lib;2823
France;Paris;09007 - CONDORCET;Velib;2820
France;Paris;08057 - HOCHE;Velib;2820
France;Paris;17019 - MALESHERBES;Velib;2820
France;Paris;20105 - GAUMONT;Velib;2820
France;Paris;19023 - MANIN SIMON BOLIVAR;Velib;2820
France;Paris;31011 - STALINGRAD 2 (MONTREUIL);Velib;2820
France;Paris;11102 - RUE DES BOULETS ( COMPLEMENTAIRE );Velib;2820
Spain;Seville;061_PLAZA DEL MUSEO;SEVICI;2818
Spain;Seville;110_CIUDAD DE RONDA;SEVICI;2818
Spain;Seville;085_PASEO CATALINA RIBERA;SEVICI;2818
France;Toulouse;00035 - PLACE JEANNE D'ARC;Vélô;2818
Spain;Valence;275_CAMINO_DE_LAS_MORERAS_ESQ_RONDA_DE_NAZARET;Valenbisi;2818
Slovenia;Ljubljana;P+R BARJE;Bicikelj;2130
Australia;Brisbane;61 - WICKHAM ST / MURRI WAY;CityCycle;2827
Australia;Brisbane;51 - BRUNSWICK ST / ALFRED ST;CityCycle;2827
